seed,d_z,rung,K,E_inf,E_train,ce_bits,wall_train,wall_infer,diag_grad,diag_halvings,analytic_floor,min_atom_dist
4,12,ii_twolayer,897,1863,335609100000,1.0800386275240297e-06,14.871724128723145,0.06325840950012207,9.712514889489991e-07,1,3.2619580491262635e-07,0.6980832527730197
4,12,iii_oracle,23660,67341,0,1.44269576227845e-06,0.0,0.6855993270874023,1.0,0,3.2619580491262635e-07,0.6980832527730197
5,12,i_linear,13,31,221550575,4.9446399152662664e-05,0.0254361629486084,0.0036025047302246094,1.762416862499623e-19,0,8.623482908354626e-07,0.5895283104184295
5,12,ii_twolayer,897,1863,335609100000,8.608301474139085e-07,15.070302248001099,0.06246519088745117,8.402666773328763e-07,0,8.623482908354626e-07,0.5895283104184295
5,12,iii_oracle,23660,67341,0,1.44269576227845e-06,0.0,0.6674573421478271,1.0,0,8.623482908354626e-07,0.5895283104184295
6,12,i_linear,13,31,221550575,0.06891011396999239,0.024044513702392578,0.003281831741333008,2.0421699660505164e-17,0,0.06859156733650194,0.6018059989959659
6,12,ii_twolayer,897,1863,335609100000,3.744477545945229e-06,15.075067043304443,0.06281828880310059,3.46080149276079e-06,2,0.06859156733650194,0.6018059989959659
6,12,iii_oracle,23660,67341,0,1.44269576227845e-06,0.0,0.6743583679199219,1.0,0,0.06859156733650194,0.6018059989959659
7,12,i_linear,13,31,221550575,0.002043759093935519,0.023196697235107422,0.003561735153198242,8.445130242362188e-18,0,5.103288266799236e-05,0.6561563526396016
7,12,ii_twolayer,897,1863,335609100000,2.189942900019208e-06,15.23717737197876,0.06352496147155762,2.1045826166860486e-06,2,5.103288266799236e-05,0.6561563526396016
7,12,iii_oracle,23660,67341,0,1.44269576227845e-06,0.0,0.6984593868255615,1.0,0,5.103288266799236e-05,0.6561563526396016
8,12,i_linear,13,31,221550575,0.02605076553897402,0.026671409606933594,0.0044116973876953125,1.2334546717476325e-17,0,0.026094738800774224,0.6128197072846299
8,12,ii_twolayer,897,1863,335609100000,3.966568752981315e-06,15.161547660827637,0.06112957000732422,3.7962451031020632e-06,1,0.026094738800774224,0.6128197072846299
8,12,iii_oracle,23660,67341,0,1.44269576227845e-06,0.0,0.6712520122528076,1.0,0,0.026094738800774224,0.6128197072846299
9,12,i_linear,13,31,221550575,0.00020083632805485108,0.02402949333190918,0.0038025379180908203,1.7035950151652116e-19,0,3.794112349031858e-06,0.5257720239526641
9,12,ii_twolayer,897,1863,335609100000,1.679934716425214e-06,15.028241157531738,0.06302022933959961,1.6829910758420197e-06,2,3.794112349031858e-06,0.5257720239526641
9,12,iii_oracle,23660,67341,0,1.44269576227845e-06,0.0,0.6899123191833496,1.0,0,3.794112349031858e-06,0.5257720239526641
